section,sku_id,name,price_rub,image_path,image_url,source_url,appetite_score_data,image_quality_score,food_styling_score,expert_diagnosis,expert_shot_plan,expert_styling_plan,expert_post_plan,expert_full_comment
furshetmenu,furshetmenu-001,Салат «Восторг»,1200.0,artifacts/sku-audit/images/furshetmenu/furshetmenu-001.jpg,https://363363.ru/images/salat-s-ananasami.jpg?crc=4168189161,https://363363.ru/furshetmenu,7.04,7.51,6.46,"Текущий кадр в целом рабочий, но потенциал роста есть в подаче и съёмочном сценарии.","Снимайте салат с угла 35–45° и добавьте крупный передний план с фактурой (зелень, соус, зерно продукта).","Добавьте свежий акцент: 2–3 ярких ингредиента сверху (зелень, семечки, тонкий соус-штрих), без перегруза.","Постобработка: держите естественную цветокоррекцию без агрессивных фильтров. Кадрируйте так, чтобы блюдо занимало 70–80% площади превью.","Сейчас карточка выглядит аккуратно, но не вызывает мгновенного «хочу съесть». Текущий кадр в целом рабочий, но потенциал роста есть в подаче и съёмочном сценарии. Как переснять: Снимайте салат с угла 35–45° и добавьте крупный передний план с фактурой (зелень, соус, зерно продукта). Стилизация: Добавьте свежий акцент: 2–3 ярких ингредиента сверху (зелень, семечки, тонкий соус-штрих), без перегруза. Постобработка: держите естественную цветокоррекцию без агрессивных фильтров. Кадрируйте так, чтобы блюдо занимало 70–80% площади превью."
furshetmenu,furshetmenu-002,Рыбное ассорти,950.0,artifacts/sku-audit/images/furshetmenu/furshetmenu-002.jpg,https://363363.ru/images/rybnoe_assorti.jpg?crc=4174051548,https://363363.ru/furshetmenu,6.21,6.35,6.04,"Текущий кадр в целом рабочий, но потенциал роста есть в подаче и съёмочном сценарии.",Для рыбы важно показать сочность среза: снимайте на уровне блюда и добавьте точку блеска на поверхности.,"Уберите лишний декор; оставьте 1–2 элемента (лимон/зелень), чтобы не спорить с цветом рыбы.","Постобработка: держите естественную цветокоррекцию без агрессивных фильтров. Кадрируйте так, чтобы блюдо занимало 70–80% площади превью.","Сейчас карточка выглядит аккуратно, но не вызывает мгновенного «хочу съесть». Текущий кадр в целом рабочий, но потенциал роста есть в подаче и съёмочном сценарии. Как переснять: Для рыбы важно показать сочность среза: снимайте на уровне блюда и добавьте точку блеска на поверхности. Стилизация: Уберите лишний декор; оставьте 1–2 элемента (лимон/зелень), чтобы не спорить с цветом рыбы. Постобработка: держите естественную цветокоррекцию без агрессивных фильтров. Кадрируйте так, чтобы блюдо занимало 70–80% площади превью."
furshetmenu,furshetmenu-003,Карбонат деликатесный запеченный,1900.0,artifacts/sku-audit/images/furshetmenu/furshetmenu-003.jpg,https://363363.ru/images/main-57-a5ecedb569c2cfe7e345c9ef04e2ce06-crop-u17339.jpg?crc=4249559983,https://363363.ru/furshetmenu,6.25,7.04,5.28,"Текущий кадр в целом рабочий, но потенциал роста есть в подаче и съёмочном сценарии.","Соберите кадр так, чтобы главный ингредиент занимал визуальный центр и был самым резким объектом.",Держите композицию простой: один главный герой и 1–2 поддерживающих акцента.,"Постобработка: держите естественную цветокоррекцию без агрессивных фильтров. Кадрируйте так, чтобы блюдо занимало 70–80% площади превью.","Фото информативное, но по аппетитности оно не дотягивает до продающего уровня. Текущий кадр в целом рабочий, но потенциал роста есть в подаче и съёмочном сценарии. Как переснять: Соберите кадр так, чтобы главный ингредиент занимал визуальный центр и был самым резким объектом. Стилизация: Держите композицию простой: один главный герой и 1–2 поддерживающих акцента. Постобработка: держите естественную цветокоррекцию без агрессивных фильтров. Кадрируйте так, чтобы блюдо занимало 70–80% площади превью."
furshetmenu,furshetmenu-004,Рулет куриный с яйцом и морковью,1400.0,artifacts/sku-audit/images/furshetmenu/furshetmenu-004.jpg,https://363363.ru/images/%d0%ba%d1%83%d1%80%d0%b8%d0%bd%d1%8b%d0%b9%20%d1%80%d1%83%d0%bb%d0%b5%d1%821333.jpg?crc=332050248,https://363363.ru/furshetmenu,6.15,6.06,6.26,"Текущий кадр в целом рабочий, но потенциал роста есть в подаче и съёмочном сценарии.",Для закусок соберите ритм из 5–7 элементов в кадре и оставьте один «геройский» элемент в резком фокусе.,"Выровняйте геометрию подачи: одинаковые интервалы, чистые края тарелки, один цветовой акцент.","Постобработка: держите естественную цветокоррекцию без агрессивных фильтров. Кадрируйте так, чтобы блюдо занимало 70–80% площади превью.","Фото информативное, но по аппетитности оно не дотягивает до продающего уровня. Текущий кадр в целом рабочий, но потенциал роста есть в подаче и съёмочном сценарии. Как переснять: Для закусок соберите ритм из 5–7 элементов в кадре и оставьте один «геройский» элемент в резком фокусе. Стилизация: Выровняйте геометрию подачи: одинаковые интервалы, чистые края тарелки, один цветовой акцент. Постобработка: держите естественную цветокоррекцию без агрессивных фильтров. Кадрируйте так, чтобы блюдо занимало 70–80% площади превью."
furshetmenu,furshetmenu-005,Цукини обжаренные с помидорками черри,1400.0,artifacts/sku-audit/images/furshetmenu/furshetmenu-005.jpg,https://363363.ru/images/%d1%86%d1%83%d0%ba%d0%b8%d0%bd%d0%b8234.jpg?crc=89524891,https://363363.ru/furshetmenu,5.86,4.89,7.05,"Текущий кадр в целом рабочий, но потенциал роста есть в подаче и съёмочном сценарии.","Соберите кадр так, чтобы главный ингредиент занимал визуальный центр и был самым резким объектом.",Держите композицию простой: один главный герой и 1–2 поддерживающих акцента.,"Постобработка: держите естественную цветокоррекцию без агрессивных фильтров. Кадрируйте так, чтобы блюдо занимало 70–80% площади превью.","Карточка рабочая, но ей не хватает фуд-акцента, который запускает добавление в корзину. Текущий кадр в целом рабочий, но потенциал роста есть в подаче и съёмочном сценарии. Как переснять: Соберите кадр так, чтобы главный ингредиент занимал визуальный центр и был самым резким объектом. Стилизация: Держите композицию простой: один главный герой и 1–2 поддерживающих акцента. Постобработка: держите естественную цветокоррекцию без агрессивных фильтров. Кадрируйте так, чтобы блюдо занимало 70–80% площади превью."
furshetmenu,furshetmenu-006,Салат Генеральский,1800.0,artifacts/sku-audit/images/furshetmenu/furshetmenu-006.jpg,https://363363.ru/images/information_items_12913-crop-u17857.jpg?crc=517347454,https://363363.ru/furshetmenu,6.88,6.44,7.42,"Сейчас видно, что цвет перенасыщен, картинка кажется неестественной.","Снимайте салат с угла 35–45° и добавьте крупный передний план с фактурой (зелень, соус, зерно продукта).","Добавьте свежий акцент: 2–3 ярких ингредиента сверху (зелень, семечки, тонкий соус-штрих), без перегруза.","Постобработка: держите естественную цветокоррекцию без агрессивных фильтров. Кадрируйте так, чтобы блюдо занимало 70–80% площади превью.","Фото информативное, но по аппетитности оно не дотягивает до продающего уровня. Сейчас видно, что цвет перенасыщен, картинка кажется неестественной. Как переснять: Снимайте салат с угла 35–45° и добавьте крупный передний план с фактурой (зелень, соус, зерно продукта). Стилизация: Добавьте свежий акцент: 2–3 ярких ингредиента сверху (зелень, семечки, тонкий соус-штрих), без перегруза. Постобработка: держите естественную цветокоррекцию без агрессивных фильтров. Кадрируйте так, чтобы блюдо занимало 70–80% площади превью."
furshetmenu,furshetmenu-007,Салат Цезарь с курицей,1200.0,artifacts/sku-audit/images/furshetmenu/furshetmenu-007.jpg,https://363363.ru/images/%d1%86%d0%b5%d0%b7%d0%b0%d1%80%d1%8c.jpg?crc=3774747153,https://363363.ru/furshetmenu,5.84,6.79,4.67,"Текущий кадр в целом рабочий, но потенциал роста есть в подаче и съёмочном сценарии.","Снимайте салат с угла 35–45° и добавьте крупный передний план с фактурой (зелень, соус, зерно продукта).","Добавьте свежий акцент: 2–3 ярких ингредиента сверху (зелень, семечки, тонкий соус-штрих), без перегруза.","Постобработка: слегка опустите экспозицию (-0.2..-0.4 EV). Кадрируйте так, чтобы блюдо занимало 70–80% площади превью.","Кадр читается, однако в текущем виде блюдо проигрывает конкурентам в выдаче. Текущий кадр в целом рабочий, но потенциал роста есть в подаче и съёмочном сценарии. Как переснять: Снимайте салат с угла 35–45° и добавьте крупный передний план с фактурой (зелень, соус, зерно продукта). Стилизация: Добавьте свежий акцент: 2–3 ярких ингредиента сверху (зелень, семечки, тонкий соус-штрих), без перегруза. Постобработка: слегка опустите экспозицию (-0.2..-0.4 EV). Кадрируйте так, чтобы блюдо занимало 70–80% площади превью."
furshetmenu,furshetmenu-008,Салат Столичный,1000.0,artifacts/sku-audit/images/furshetmenu/furshetmenu-008.jpg,https://363363.ru/images/1305.jpg?crc=3959822156,https://363363.ru/furshetmenu,5.17,5.88,4.31,"Текущий кадр в целом рабочий, но потенциал роста есть в подаче и съёмочном сценарии.","Снимайте салат с угла 35–45° и добавьте крупный передний план с фактурой (зелень, соус, зерно продукта).","Добавьте свежий акцент: 2–3 ярких ингредиента сверху (зелень, семечки, тонкий соус-штрих), без перегруза.","Постобработка: аккуратно усилите насыщенность тёплых оттенков (+6..+12). Кадрируйте так, чтобы блюдо занимало 70–80% площади превью.","Фото информативное, но по аппетитности оно не дотягивает до продающего уровня. Текущий кадр в целом рабочий, но потенциал роста есть в подаче и съёмочном сценарии. Как переснять: Снимайте салат с угла 35–45° и добавьте крупный передний план с фактурой (зелень, соус, зерно продукта). Стилизация: Добавьте свежий акцент: 2–3 ярких ингредиента сверху (зелень, семечки, тонкий соус-штрих), без перегруза. Постобработка: аккуратно усилите насыщенность тёплых оттенков (+6..+12). Кадрируйте так, чтобы блюдо занимало 70–80% площади превью."
furshetmenu,furshetmenu-009,Гранатовый браслет,1300.0,artifacts/sku-audit/images/furshetmenu/furshetmenu-009.jpg,https://363363.ru/images/402989013-crop-u18006.jpg?crc=204307986,https://363363.ru/furshetmenu,6.85,7.3,6.3,"Текущий кадр в целом рабочий, но потенциал роста есть в подаче и съёмочном сценарии.","Соберите кадр так, чтобы главный ингредиент занимал визуальный центр и был самым резким объектом.",Держите композицию простой: один главный герой и 1–2 поддерживающих акцента.,"Постобработка: держите естественную цветокоррекцию без агрессивных фильтров. Кадрируйте так, чтобы блюдо занимало 70–80% площади превью.","Сейчас карточка выглядит аккуратно, но не вызывает мгновенного «хочу съесть». Текущий кадр в целом рабочий, но потенциал роста есть в подаче и съёмочном сценарии. Как переснять: Соберите кадр так, чтобы главный ингредиент занимал визуальный центр и был самым резким объектом. Стилизация: Держите композицию простой: один главный герой и 1–2 поддерживающих акцента. Постобработка: держите естественную цветокоррекцию без агрессивных фильтров. Кадрируйте так, чтобы блюдо занимало 70–80% площади превью."
furshetmenu,furshetmenu-010,Сельдь под шубой,1300.0,artifacts/sku-audit/images/furshetmenu/furshetmenu-010.jpg,https://363363.ru/images/79c07af8ad4b96674a100dd200ff32c3_cropped_612x408.jpg?crc=80195737,https://363363.ru/furshetmenu,6.86,7.41,6.19,"Текущий кадр в целом рабочий, но потенциал роста есть в подаче и съёмочном сценарии.","Для десертов используйте мягкий рассеянный свет и кадр с крошкой/срезом, чтобы передать текстуру крема и бисквита.","Фон спокойный, но не стерильный: дерево/текстиль в мягком боке усиливает ощущение «домашнего вкуса».","Постобработка: держите естественную цветокоррекцию без агрессивных фильтров. Кадрируйте так, чтобы блюдо занимало 70–80% площади превью.","Фото информативное, но по аппетитности оно не дотягивает до продающего уровня. Текущий кадр в целом рабочий, но потенциал роста есть в подаче и съёмочном сценарии. Как переснять: Для десертов используйте мягкий рассеянный свет и кадр с крошкой/срезом, чтобы передать текстуру крема и бисквита. Стилизация: Фон спокойный, но не стерильный: дерево/текстиль в мягком боке усиливает ощущение «домашнего вкуса». Постобработка: держите естественную цветокоррекцию без агрессивных фильтров. Кадрируйте так, чтобы блюдо занимало 70–80% площади превью."
